canonical_smiles,pchembl_value,assay_description,chembl_id,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,AromaticRingCount,FractionCSP3,HeavyAtomCount
CC(O)(c1ccc(C2(S(=O)(=O)c3ccc(F)cc3)CCCC2)cc1)C(F)(F)F,6.62,Transactivation of PXR in human HepG2 cells,CHEMBL4440933,416.43600000000015,4.838700000000003,54.37,1,3,4,3,2,0.4,28
CC(c1ccc(C2(S(=O)(=O)c3ccc(F)cc3)CCCC2)cc1)(C(F)(F)F)C(F)(F)F,6.12,Transactivation of PXR in human HepG2 cells,CHEMBL4447203,468.43400000000014,6.451200000000004,34.14,0,2,4,3,2,0.42857142857142855,31
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,7.1499999999999995,Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL8739,278.4359999999999,5.660500000000005,37.3,1,1,13,0,0,0.6111111111111112,20
CC1(C)CCN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc21,7.44,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4206412,485.42100000000005,5.014500000000004,57.61,1,3,3,3,2,0.4,32
CC1(C)CCc2cc(S(=O)(=O)N(CC(=O)O)C3(c4cccc(-c5cc(Cl)cc(Cl)c5)c4)CCC3)ccc2O1,5.52,Transactivation of human PXR expressed in human HepG2 cells after 15 mins by luciferase reporter gene assay,CHEMBL3764017,574.5260000000002,6.918700000000006,83.91000000000001,1,4,7,5,3,0.3448275862068966,38
CC1(C)CN2CCC[C@]2(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)C1,5.25,Activation of PXR (unknown origin),CHEMBL4062780,459.01200000000017,4.412800000000003,74.33000000000001,2,6,6,4,2,0.5263157894736842,29
CC1(C)Cc2c(c(C(=O)Nc3ccc(F)c(C(F)(F)F)c3)cc3nc(Nc4c(F)cccc4Cl)[nH]c23)O1,5.61,Activation of human PXR,CHEMBL4224969,536.888,7.222700000000002,79.04,3,4,4,5,4,0.2,37
CC1(C)S[C@@H]2[C@H](N3C(=O)[C@@H](c4ccccc4)NC3(C)C)C(=O)N2[C@H]1C(=O)[O-].[K+],5.2,Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL1201121,427.56700000000023,-2.9195999999999955,92.78,1,6,3,4,1,0.5263157894736842,28
CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,5.066666666666666,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL7002,333.4530000000002,3.9299000000000026,55.4,1,4,5,3,1,0.5555555555555556,23
CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,4.866666666666667,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL304818,326.436,3.520900000000002,54.37,1,3,6,1,0,0.5238095238095238,24
CC1CCN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc21,7.8,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4209665,471.39400000000006,4.840400000000003,57.61,1,3,3,3,2,0.3684210526315789,31
